RES_PERSON_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,BIRTH_DATE,SEX,SSN,DEATH_DATE,DECEASED_IND
5001,PAT,,WILSON,2000-05-12,M,***-**-5001,,
5002,PAT,,KELLY,1964-09-18,M,***-**-5002,,
5003,ISLA,,KELLY,1986-03-09,F,***-**-5003,,
5004,AVA,,RIVERA,1964-09-06,F,***-**-5004,,
5005,MIA,,BROWN,1996-12-18,F,***-**-5005,,
5006,BEN,,HERNANDEZ,1989-05-20,M,***-**-5006,,
5007,ETHAN,,ZHOU,1975-04-26,F,***-**-5007,,
5008,JANE,,BROWN,1947-02-06,M,***-**-5008,,
5009,ETHAN,,KELLY,1986-08-12,M,***-**-5009,,
5010,ISLA,,HERNANDEZ,1971-12-22,M,***-**-5010,,
5011,MARIA,,WEBB,1989-01-22,M,***-**-5011,,
5012,ALAN,,CHEN,1963-04-16,F,***-**-5012,,
5013,NORA,,KIM,1952-11-26,M,***-**-5013,,
5014,NORA,,WILSON,1967-11-14,M,***-**-5014,,
5015,CHLOE,,HERNANDEZ,1976-05-03,M,***-**-5015,,
5016,NORA,,RIVERA,1999-08-14,M,***-**-5016,,
5017,MARIA,,WILSON,1988-04-06,M,***-**-5017,,
5018,MARIA,,DOE,1983-07-12,F,***-**-5018,,
5019,LUCY,,KIM,1977-01-03,F,***-**-5019,,
5020,ALAN,,WEBB,1999-07-09,M,***-**-5020,,
5021,CHLOE,,KIM,1991-12-10,F,***-**-5021,,
5022,SAM,,ZHOU,1993-09-24,F,***-**-5022,,
5023,ISLA,,GARCIA,1968-01-06,F,***-**-5023,,
5024,PAT,,DOE,2000-04-14,F,***-**-5024,,
5025,LIAM,,RIVERA,1989-07-12,M,***-**-5025,,
5026,JANE,,KELLY,2000-08-25,M,***-**-5026,,
5027,ALAN,,WILSON,1962-12-24,M,***-**-5027,,
5028,MARIA,,ZHOU,2000-03-15,M,***-**-5028,,
5029,MARIA,,ZHOU,1986-06-14,F,***-**-5029,,
5030,JANE,,DOE,1946-10-06,M,***-**-5030,,
5031,MARIA,,LEE,1956-03-28,M,***-**-5031,,
5032,JANE,,CHEN,1989-07-12,F,***-**-5032,,
5033,ISLA,,KIM,1944-09-08,F,***-**-5033,,
5034,MARIA,,SINGH,1950-04-26,M,***-**-5034,,
5035,PAT,,MARTIN,1982-01-04,M,***-**-5035,,
5036,MARIA,,BROWN,1949-02-28,M,***-**-5036,,
5037,MARIA,,DOE,1959-11-12,M,***-**-5037,,
5038,ALAN,,WEBB,1956-02-04,M,***-**-5038,,
5039,ALAN,,MARTIN,1985-10-17,M,***-**-5039,,
5040,NORA,,MARTIN,1945-04-23,F,***-**-5040,,
5041,LIAM,,HERNANDEZ,1967-10-08,F,***-**-5041,,
5042,NORA,,PARK,1989-06-23,M,***-**-5042,,
5043,ROBERT,,LEE,1948-12-15,F,***-**-5043,,
5044,JOHN,,WILSON,1969-10-20,M,***-**-5044,,
5045,ETHAN,,HERNANDEZ,1996-04-14,F,***-**-5045,,
5046,SAM,,ZHOU,1975-12-19,F,***-**-5046,,
5047,PAT,,WEBB,1965-10-23,F,***-**-5047,,
5048,ELI,,KIM,1948-12-15,F,***-**-5048,,
