RES_BANK_ACCOUNT_ID,ROUTING_NUMBER,ACCOUNT_NUMBER
8001,211370545,****6994
8002,021000021,****7414
8003,011401533,****2443
8004,011401533,****8888
8005,021000021,****2868
8006,011401533,****2788
8007,021000021,****7112
8008,021000021,****6786
8009,211370545,****3265
8010,011401533,****1677
8011,021000021,****8630
8012,211370545,****6800
8013,021000021,****5076
8014,021000021,****7537
8015,021000021,****2072
8016,211370545,****3049
8017,211370545,****4254
8018,211370545,****6686
8019,011401533,****8175
8020,011401533,****1353
8021,011401533,****3451
8022,021000021,****5979
8023,011401533,****5636
8024,011401533,****6283
8025,011401533,****9954
8026,211370545,****1787
8027,011401533,****4587
8028,211370545,****5081
8029,011401533,****9508
8030,021000021,****1852
8031,011401533,****6750
8032,011401533,****6143
8033,011401533,****5471
8034,011401533,****3363
8035,211370545,****1395
8036,211370545,****6019
8037,211370545,****8869
8038,011401533,****5095
8039,211370545,****2979
8040,211370545,****5045
8041,021000021,****8596
8042,211370545,****1421
8043,211370545,****4775
8044,021000021,****3455
8045,021000021,****1426
8046,011401533,****7967
8047,011401533,****4077
8048,021000021,****2524
8049,211370545,****8113
8050,021000021,****6317
8051,021000021,****1587
8052,211370545,****7333
8053,011401533,****7379
8054,021000021,****5993
8055,021000021,****4231
8056,211370545,****2983
8057,011401533,****8660
8058,211370545,****8201
8059,021000021,****3030
8060,011401533,****8157
8061,211370545,****8976
8062,011401533,****6615
8063,021000021,****3487
8064,021000021,****7831
8065,021000021,****2479
8066,211370545,****7475
8067,211370545,****7139
8068,021000021,****9388
8069,211370545,****5087
8070,011401533,****5853
